Item Id,Item Name,Price,Sales,Nome da loja,Commission Rate,Commission,Product Link,Offer Link
22893738408,Jogo de Lençol 400 Fios Extra Macio com fronhas ponto palito Berço Solteiro Casal Queen King 02 e 03 Peças,"11,70",1mi+,Nosso Lar Enxovais,"12,39%","R$1,40",https://shopee.com.br/product/313660590/22893738408,https://s.shopee.com.br/6Ak9XE0Liy
58256439593,Percarbonato 100% Puro Tira Manchas Roupas Brancas e Coloridas,"16,99",100mil+,Papel fotografico e Papelaria,"7,55%","R$1,19",https://shopee.com.br/product/761647073/58256439593,https://s.shopee.com.br/60QjKv0z3x
9212570285,Creatina Suplemento Monohidratada em Pó 100% Pura Importada - Soldiers Nutrition,"24,90",100mil+,Soldiers Nutrition,15%,"R$3,74",https://shopee.com.br/product/347988064/9212570285,https://s.shopee.com.br/6VMzvpz534
28583751267,40-120 Pçs Hidrocolóide Acne Remendos Rosto Espinha Adesivos Para Zits Tratamento De Ponto Cuidados Com A Pele Essencial,"2,19",200mil+,Choice Oficial,"5,5%","R$0,11",https://shopee.com.br/product/1006215031/28583751267,https://s.shopee.com.br/6L3ZjWziO3
16692338189,Jogo de Lençol 400 Fios Micropercal Com Fronha em Ponto Palito,"13,80",2mi+,Casa_Completa_Enxovais,"3,5%","R$0,41",https://shopee.com.br/product/552896405/16692338189,https://s.shopee.com.br/5VUSk02t4u
