Item Id,Item Name,Price,Sales,Nome da loja,Commission Rate,Commission,Product Link,Offer Link
40723848736,Kit Completo Maca Power karseell  Máscara 500 g + condicionador 1L + Shampoo 1L + Óleo P 50ml,"49,00",100mil+,Karseell Oficial ,"14,5%","R$6,86",https://shopee.com.br/product/407760070/40723848736,https://s.shopee.com.br/AAGIIuliIC
19650049732,Creme Depilatório Corporal Depilsam Karité 200G,"69,90",70mil+,Dana Cosmeticos,"17,84%","R$11,88",https://shopee.com.br/product/436104412/19650049732,https://s.shopee.com.br/9zws6bmLdB
22394412338,Fita Dupla Face Extra Forte Transparente NanoGel Silicone Mágica Adesiva Cola na Parede Móvel Porta,"10,00",200mil+,Good Vibes Moment Variedade Mochila,"6,5%","R$0,60",https://shopee.com.br/product/392260640/22394412338,https://s.shopee.com.br/AUt8hWkRcI
23394276680,Kit 6/12/18/24 Panos De Limpeza Aço Premium Arear Panela Fogão Toalha Louça Tira Gordura Reutilizável,"10,00",200mil+,MaisKCompra Store,"6,8%","R$0,60",https://shopee.com.br/product/1429781525/23394276680,https://s.shopee.com.br/AKZiVDl4xH
24442629738,Senbenbao X55 Fones De Ouvido TWS Sleep Fone Sem Fio Bluetooth Display Led Hifi Estéreo Cancelamento De Ruído Esportivo,"12,51",200mil+,Choice Oficial,"5,5%","R$0,63",https://shopee.com.br/product/1006215031/24442629738,https://s.shopee.com.br/9V0bVgoFe8
